City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Brae,GB,2022-07-22 17:12:19,60.3964,-1.353,53.56,72,100,10.76,overcast clouds
1,Esperance,AU,2022-07-22 17:12:19,-33.8667,121.9,53.49,77,87,13.8,overcast clouds
2,Kapaa,US,2022-07-22 17:10:15,22.0752,-159.319,79.12,86,40,12.66,scattered clouds
3,Broken Hill,AU,2022-07-22 17:12:20,-31.95,141.4333,55.08,71,100,12.28,light rain
4,Husavik,IS,2022-07-22 17:09:41,66.0449,-17.3389,51.94,81,63,6.51,broken clouds
5,Trinidad,BO,2022-07-22 17:12:21,-14.8333,-64.9,91.38,43,20,5.75,few clouds
6,Cape Town,ZA,2022-07-22 17:12:18,-33.9258,18.4232,59.34,81,100,5.01,overcast clouds
7,Yokadouma,CM,2022-07-22 17:12:22,3.5167,15.05,70.7,98,100,1.97,overcast clouds
8,Puerto Ayora,EC,2022-07-22 17:12:22,-0.7393,-90.3518,78.76,86,48,5.99,scattered clouds
9,Port Hardy,CA,2022-07-22 17:12:23,50.6996,-127.4199,57.81,86,96,6.35,overcast clouds
10,Albany,US,2022-07-22 17:12:23,42.6001,-73.9662,92.62,42,7,1.01,clear sky
11,Cairns,AU,2022-07-22 17:12:24,-16.9167,145.7667,67.95,87,75,6.91,broken clouds
12,Georgetown,MY,2022-07-22 17:07:27,5.4112,100.3354,78.73,96,40,0.0,scattered clouds
13,Wanlaweyn,SO,2022-07-22 17:12:24,2.6185,44.8938,75.0,75,44,17.98,scattered clouds
14,Bagn,NO,2022-07-22 17:12:25,60.8225,9.5521,72.09,63,100,5.44,overcast clouds
15,Tazovskiy,RU,2022-07-22 17:12:25,67.4667,78.7,47.62,76,100,6.49,overcast clouds
16,Mount Isa,AU,2022-07-22 17:12:25,-20.7333,139.5,47.97,46,0,5.75,clear sky
17,Mackenzie,CA,2022-07-22 17:12:26,55.2999,-123.1698,67.57,44,99,1.61,overcast clouds
18,Bredasdorp,ZA,2022-07-22 17:12:26,-34.5322,20.0403,54.36,64,100,7.85,overcast clouds
19,Rikitea,PF,2022-07-22 17:12:27,-23.1203,-134.9692,72.61,75,99,7.7,overcast clouds
20,Lorengau,PG,2022-07-22 17:12:27,-2.0226,147.2712,81.64,80,88,7.29,overcast clouds
21,Portland,US,2022-07-22 17:09:10,45.5234,-122.6762,66.24,76,100,5.99,overcast clouds
22,Rio Grande,BR,2022-07-22 17:12:28,-32.035,-52.0986,67.95,96,100,3.8,overcast clouds
23,Chuy,UY,2022-07-22 17:12:17,-33.6971,-53.4616,60.01,83,100,3.15,overcast clouds
24,Norman Wells,CA,2022-07-22 17:12:28,65.282,-126.8329,71.46,47,33,4.88,scattered clouds
25,Mar Del Plata,AR,2022-07-22 17:11:50,-38.0023,-57.5575,53.62,68,0,5.75,clear sky
26,Bluff,NZ,2022-07-22 17:12:29,-46.6,168.3333,33.8,84,83,7.25,broken clouds
27,Sinnamary,GF,2022-07-22 17:12:29,5.3833,-52.95,83.16,71,14,6.85,few clouds
28,Atuona,PF,2022-07-22 17:12:30,-9.8,-139.0333,76.96,76,2,15.28,clear sky
29,Punta Arenas,CL,2022-07-22 17:12:30,-53.15,-70.9167,41.02,75,0,20.71,clear sky
30,Xiazhen,CN,2022-07-22 17:12:30,34.8022,117.1117,75.9,97,100,9.95,moderate rain
31,Marawi,PH,2022-07-22 17:08:31,7.9986,124.2928,69.48,94,95,2.46,overcast clouds
32,Kailua,US,2022-07-22 17:12:31,21.4022,-157.7394,78.78,76,100,9.22,overcast clouds
33,East London,ZA,2022-07-22 17:07:50,-33.0153,27.9116,69.39,51,5,8.03,clear sky
34,New Norfolk,AU,2022-07-22 17:09:25,-42.7826,147.0587,49.5,83,99,1.01,overcast clouds
35,Roblin,CA,2022-07-22 17:12:32,51.23,-101.3565,66.99,69,5,8.68,clear sky
36,Ushuaia,AR,2022-07-22 17:12:32,-54.8,-68.3,35.26,93,100,29.93,sleet
37,Sola,VU,2022-07-22 17:12:33,-13.8833,167.55,80.17,79,99,14.63,overcast clouds
38,Sao Filipe,CV,2022-07-22 17:12:33,14.8961,-24.4956,75.83,80,72,6.73,broken clouds
39,Port Hedland,AU,2022-07-22 17:12:33,-20.3167,118.5667,66.25,100,100,4.61,overcast clouds
40,Ilulissat,GL,2022-07-22 17:12:34,69.2167,-51.1,48.22,93,100,3.44,light rain
41,Adrar,MR,2022-07-22 17:10:04,20.5022,-10.0711,98.38,28,59,3.0,light rain
42,Grao Mogol,BR,2022-07-22 17:12:34,-16.5594,-42.8897,79.86,32,0,7.05,clear sky
43,Barrow,US,2022-07-22 17:12:35,71.2906,-156.7887,37.42,93,100,11.5,mist
44,Hualmay,PE,2022-07-22 17:12:35,-11.0964,-77.6139,65.98,69,55,6.91,broken clouds
45,Flin Flon,CA,2022-07-22 17:07:59,54.7682,-101.865,55.96,66,97,6.44,overcast clouds
46,Hofn,IS,2022-07-22 17:13:36,64.2539,-15.2082,52.59,88,91,5.32,overcast clouds
47,Nikolskoye,RU,2022-07-22 17:13:36,59.7035,30.7861,81.81,54,35,3.2,scattered clouds
48,Derbent,RU,2022-07-22 17:13:37,42.0678,48.2899,74.84,69,17,11.39,few clouds
49,Samarai,PG,2022-07-22 17:13:37,-10.6167,150.6667,79.59,81,33,5.61,scattered clouds
50,Katsuura,JP,2022-07-22 17:13:38,35.1333,140.3,78.98,85,34,18.48,scattered clouds
51,Sao Felix Do Xingu,BR,2022-07-22 17:13:38,-6.6447,-51.995,96.37,20,60,3.65,broken clouds
52,Saint George,US,2022-07-22 17:13:39,37.1041,-113.5841,100.44,17,0,3.0,clear sky
53,Kudahuvadhoo,MV,2022-07-22 17:13:39,2.6708,72.8944,82.49,74,100,15.79,overcast clouds
54,Butaritari,KI,2022-07-22 17:13:40,3.0707,172.7902,80.96,76,30,9.19,scattered clouds
55,Port Alfred,ZA,2022-07-22 17:13:40,-33.5906,26.891,65.5,67,49,3.33,scattered clouds
56,Sitka,US,2022-07-22 17:10:35,57.0531,-135.33,55.29,82,100,4.61,overcast clouds
57,Valparaiso,CL,2022-07-22 17:13:24,-33.0393,-71.6273,59.23,76,2,9.22,fog
58,Vilyuysk,RU,2022-07-22 17:13:41,63.7553,121.6247,58.59,91,39,3.51,scattered clouds
59,Wanning,CN,2022-07-22 17:13:41,18.8003,110.3967,80.04,86,25,5.1,scattered clouds
60,Qaanaaq,GL,2022-07-22 17:13:42,77.484,-69.3632,42.19,84,100,11.54,overcast clouds
61,Mataura,NZ,2022-07-22 17:13:42,-46.1927,168.8643,33.48,98,16,2.95,few clouds
62,Hermanus,ZA,2022-07-22 17:08:43,-34.4187,19.2345,55.8,68,92,11.77,overcast clouds
63,Sarkikaraagac,TR,2022-07-22 17:09:12,38.0794,31.3664,70.47,33,0,6.17,clear sky
64,Port Lincoln,AU,2022-07-22 17:13:43,-34.7333,135.8667,53.04,65,86,6.04,overcast clouds
65,Tuatapere,NZ,2022-07-22 17:13:43,-46.1333,167.6833,37.49,93,47,3.87,scattered clouds
66,Calama,CL,2022-07-22 17:13:44,-22.4667,-68.9333,70.29,16,0,12.66,clear sky
67,Hilo,US,2022-07-22 17:13:44,19.7297,-155.09,78.28,100,100,10.36,heavy intensity rain
68,Ribeira Grande,PT,2022-07-22 17:13:44,38.5167,-28.7,77.4,83,40,12.66,scattered clouds
69,Bulgan,MN,2022-07-22 17:13:45,48.8125,103.5347,50.76,93,100,4.79,overcast clouds
70,Hithadhoo,MV,2022-07-22 17:13:45,-0.6,73.0833,81.09,74,100,7.18,overcast clouds
71,Kaitangata,NZ,2022-07-22 17:08:47,-46.2817,169.8464,38.68,92,84,4.68,broken clouds
72,Caravelas,BR,2022-07-22 17:13:46,-17.7125,-39.2481,76.84,69,40,5.88,scattered clouds
73,Bayan,CN,2022-07-22 17:13:47,46.0833,127.4,63.88,85,23,8.16,few clouds
74,Vaini,TO,2022-07-22 17:13:47,-21.2,-175.2,71.76,88,40,8.05,scattered clouds
75,Chokurdakh,RU,2022-07-22 17:13:48,70.6333,147.9167,38.66,78,77,12.55,broken clouds
76,Khatanga,RU,2022-07-22 17:13:05,71.9667,102.5,45.77,83,100,14.14,overcast clouds
77,Cidreira,BR,2022-07-22 17:08:48,-30.1811,-50.2056,68.76,82,92,4.34,moderate rain
78,Gualaquiza,EC,2022-07-22 17:13:48,-3.4,-78.55,70.32,66,97,0.87,overcast clouds
79,Hobart,AU,2022-07-22 17:11:33,-42.8794,147.3294,49.86,76,75,8.05,broken clouds
80,Mukhen,RU,2022-07-22 17:13:49,48.1,136.1,57.74,97,80,1.79,broken clouds
81,Christchurch,NZ,2022-07-22 17:09:28,-43.5333,172.6333,37.6,93,40,3.44,scattered clouds
82,Lasa,IT,2022-07-22 17:13:49,46.6166,10.7002,79.84,59,47,6.42,scattered clouds
83,Haines Junction,CA,2022-07-22 17:10:24,60.7522,-137.5108,49.73,78,100,6.4,overcast clouds
84,San Patricio,US,2022-07-22 17:13:50,28.017,-97.5169,93.54,41,92,14.14,overcast clouds
85,Rajmahal,IN,2022-07-22 17:13:50,25.05,87.8333,83.23,82,95,7.58,overcast clouds
86,Lebu,CL,2022-07-22 17:13:51,-37.6167,-73.65,54.34,96,100,11.07,overcast clouds
87,Upernavik,GL,2022-07-22 17:09:55,72.7868,-56.1549,42.06,95,100,24.96,light rain
88,Tupik,RU,2022-07-22 17:13:52,54.4253,119.9327,61.83,91,100,1.36,overcast clouds
89,Kokopo,PG,2022-07-22 17:14:52,-4.352,152.2633,77.5,83,15,3.87,few clouds
90,Thompson,CA,2022-07-22 17:14:52,55.7435,-97.8558,54.36,80,100,6.35,overcast clouds
91,Avarua,CK,2022-07-22 17:14:53,-21.2078,-159.775,75.25,83,75,11.5,broken clouds
92,Nome,US,2022-07-22 17:14:53,64.5011,-165.4064,46.47,93,100,8.05,light rain
93,Auki,SB,2022-07-22 17:14:54,-8.7676,160.7034,75.81,85,93,4.16,overcast clouds
94,Tulun,RU,2022-07-22 17:14:54,54.5611,100.5792,56.41,89,100,2.64,overcast clouds
95,Vila Franca Do Campo,PT,2022-07-22 17:10:40,37.7167,-25.4333,72.01,66,96,2.64,overcast clouds
96,Victoria,HK,2022-07-22 17:14:55,22.2855,114.1577,89.19,82,3,10.0,clear sky
97,Port Elizabeth,ZA,2022-07-22 17:14:41,-33.918,25.5701,61.32,67,0,8.05,clear sky
98,Yellowknife,CA,2022-07-22 17:14:55,62.456,-114.3525,62.56,59,96,4.0,overcast clouds
99,San Quintin,MX,2022-07-22 17:14:56,30.4833,-115.95,72.81,69,43,13.96,scattered clouds
100,Nemuro,JP,2022-07-22 17:12:47,43.3236,145.575,59.68,92,100,6.98,light rain
101,Riyadh,SA,2022-07-22 17:14:56,24.6877,46.7219,104.14,10,92,16.96,overcast clouds
102,Bathsheba,BB,2022-07-22 17:14:57,13.2167,-59.5167,86.61,81,40,17.27,scattered clouds
103,Lagoa,PT,2022-07-22 17:14:57,39.05,-27.9833,72.73,86,100,8.84,overcast clouds
104,Phan Thiet,VN,2022-07-22 17:14:58,10.9333,108.1,77.09,88,100,2.51,overcast clouds
105,Nanortalik,GL,2022-07-22 17:14:58,60.1432,-45.2371,48.06,81,38,5.44,scattered clouds
106,Gizo,SB,2022-07-22 17:14:58,-8.103,156.8419,81.5,74,55,5.59,broken clouds
107,Namibe,AO,2022-07-22 17:14:59,-15.1961,12.1522,64.08,84,13,8.66,few clouds
108,Dikson,RU,2022-07-22 17:14:59,73.5069,80.5464,53.29,73,100,10.83,overcast clouds
109,Lavrentiya,RU,2022-07-22 17:15:00,65.5833,-171.0,41.7,84,80,12.82,broken clouds
110,Quelimane,MZ,2022-07-22 17:15:00,-17.8786,36.8883,71.55,88,20,4.61,few clouds
111,Turbat,PK,2022-07-22 17:15:00,26.0023,63.044,86.49,68,100,12.57,overcast clouds
112,Celestun,MX,2022-07-22 17:15:01,20.8667,-90.4,88.5,58,27,5.19,scattered clouds
113,Springbok,ZA,2022-07-22 17:15:01,-29.6643,17.8865,56.88,42,68,4.88,broken clouds
114,Shakawe,BW,2022-07-22 17:15:02,-18.3667,21.85,66.0,40,83,3.4,broken clouds
115,Arraial Do Cabo,BR,2022-07-22 17:15:03,-22.9661,-42.0278,80.56,73,0,14.97,clear sky
116,Vestmannaeyjar,IS,2022-07-22 17:11:53,63.4427,-20.2734,51.44,94,100,9.04,light rain
117,Nago,JP,2022-07-22 17:15:03,26.5881,127.9761,85.05,87,27,9.6,scattered clouds
118,La Sarre,CA,2022-07-22 17:15:04,48.8002,-79.1996,74.82,53,4,11.54,clear sky
119,Pacific Grove,US,2022-07-22 17:15:04,36.6177,-121.9166,71.2,90,20,15.01,few clouds
120,Tuktoyaktuk,CA,2022-07-22 17:14:28,69.4541,-133.0374,56.37,71,86,6.8,overcast clouds
121,Mineiros,BR,2022-07-22 17:15:05,-17.5694,-52.5511,85.73,24,31,6.91,scattered clouds
122,Hirara,JP,2022-07-22 17:15:05,24.8,125.2833,84.72,78,54,12.68,broken clouds
123,Tiksi,RU,2022-07-22 17:12:34,71.6872,128.8694,43.27,82,52,5.64,broken clouds
124,Geraldton,AU,2022-07-22 17:10:08,-28.7667,114.6,50.41,93,76,13.8,broken clouds
125,The Valley,AI,2022-07-22 17:15:06,18.217,-63.0578,87.66,62,40,17.27,scattered clouds
126,Virtsu,EE,2022-07-22 17:15:06,58.5716,23.5115,78.06,74,6,4.18,clear sky
127,Ixtapa,MX,2022-07-22 17:15:07,20.7,-105.2,90.23,66,75,5.99,broken clouds
128,Katherine,AU,2022-07-22 17:15:07,-14.4667,132.2667,53.92,50,5,3.44,clear sky
129,Biak,ID,2022-07-22 17:15:08,-0.9131,122.8766,75.58,88,59,6.71,broken clouds
130,Kasongo,CD,2022-07-22 17:15:08,-4.45,26.6667,84.49,28,76,4.18,broken clouds
131,Rapid Valley,US,2022-07-22 17:15:09,44.0625,-103.1463,95.76,20,0,10.0,clear sky
132,San Lorenzo,PY,2022-07-22 17:12:50,-25.3333,-57.5333,85.14,42,0,14.97,clear sky
133,Cabo San Lucas,MX,2022-07-22 17:15:09,22.8909,-109.9124,99.7,46,0,4.61,clear sky
134,Busselton,AU,2022-07-22 17:16:10,-33.65,115.3333,58.93,81,29,17.07,scattered clouds
135,Gat,IL,2022-07-22 17:16:01,31.61,34.7642,83.8,100,0,9.62,clear sky
136,Zhigalovo,RU,2022-07-22 17:16:10,54.8097,105.1578,57.43,99,100,1.39,overcast clouds
137,Miyako,JP,2022-07-22 17:16:11,39.6367,141.9525,71.87,99,100,4.61,overcast clouds
138,Kozhva,RU,2022-07-22 17:16:11,65.1073,57.0459,52.95,65,7,5.03,clear sky
139,Amuntai,ID,2022-07-22 17:16:12,-2.4177,115.2494,74.71,96,99,0.98,overcast clouds
140,Fairbanks,US,2022-07-22 17:16:12,64.8378,-147.7164,52.61,85,100,5.75,overcast clouds
141,Indaial,BR,2022-07-22 17:16:13,-26.8978,-49.2317,80.62,73,43,1.45,scattered clouds
142,Saldanha,ZA,2022-07-22 17:16:13,-33.0117,17.9442,56.12,85,100,3.74,overcast clouds
143,Kifri,IQ,2022-07-22 17:16:13,34.6959,44.9661,99.7,12,0,10.78,clear sky
144,Puerto Cabezas,NI,2022-07-22 17:16:14,14.0351,-83.3888,84.16,89,40,11.5,scattered clouds
145,Ancud,CL,2022-07-22 17:16:14,-41.8697,-73.8203,40.23,96,100,11.5,moderate rain
146,Ivanteyevka,RU,2022-07-22 17:16:15,55.9711,37.9208,75.74,66,97,5.64,overcast clouds
147,Pasighat,IN,2022-07-22 17:16:15,28.0667,95.3333,77.59,86,100,2.89,overcast clouds
148,Mati,PH,2022-07-22 17:16:16,6.9551,126.2166,76.21,92,53,1.92,broken clouds
149,Kiama,AU,2022-07-22 17:16:16,-34.6833,150.8667,59.0,92,67,1.01,broken clouds
150,Kodiak,US,2022-07-22 17:16:17,57.79,-152.4072,53.11,58,0,6.91,clear sky
151,Palmer,US,2022-07-22 17:14:39,42.1584,-72.3287,91.89,45,40,11.5,scattered clouds
152,Shimoda,JP,2022-07-22 17:16:17,34.6667,138.95,78.1,86,0,15.93,clear sky
153,Tasiilaq,GL,2022-07-22 17:16:18,65.6145,-37.6368,42.96,75,67,4.56,broken clouds
154,La Palma,US,2022-07-22 17:16:18,33.8464,-118.0467,83.19,70,40,6.91,scattered clouds
155,Klaksvik,FO,2022-07-22 17:16:18,62.2266,-6.589,52.72,85,99,9.78,overcast clouds
156,Vao,NC,2022-07-22 17:16:19,-22.6667,167.4833,74.5,87,91,22.57,overcast clouds
157,Provideniya,RU,2022-07-22 17:15:48,64.3833,-173.3,42.57,80,63,9.28,broken clouds
158,Castro,BR,2022-07-22 17:16:19,-24.7911,-50.0119,74.86,39,33,6.58,scattered clouds
159,Kavieng,PG,2022-07-22 17:16:20,-2.5744,150.7967,81.7,78,39,10.31,light rain
160,Shaunavon,CA,2022-07-22 17:16:20,49.6501,-108.4181,79.32,30,86,11.27,overcast clouds
161,Jamestown,US,2022-07-22 17:16:21,42.097,-79.2353,83.05,68,75,6.91,broken clouds
162,Briancon,FR,2022-07-22 17:16:21,44.9,6.65,85.35,30,27,4.68,scattered clouds
163,Longyearbyen,SJ,2022-07-22 17:16:21,78.2186,15.6401,51.64,76,75,5.75,broken clouds
164,Ishikari,JP,2022-07-22 17:16:22,43.2397,141.3539,69.26,96,100,5.41,light rain
165,Orlik,RU,2022-07-22 17:16:22,52.5178,99.825,53.69,75,100,1.43,overcast clouds
166,Nuuk,GL,2022-07-22 17:16:23,64.1835,-51.7216,50.61,76,20,12.66,few clouds
167,Crossfield,CA,2022-07-22 17:16:23,51.4334,-114.0353,69.22,68,78,6.53,broken clouds
168,Mabaruma,GY,2022-07-22 17:16:24,8.2,-59.7833,86.5,59,52,6.82,broken clouds
169,Kalevala,RU,2022-07-22 17:16:24,65.2,31.1667,72.7,56,88,8.52,overcast clouds
170,Bengkulu,ID,2022-07-22 17:16:25,-3.8004,102.2655,75.81,89,87,4.68,overcast clouds
171,Rabo De Peixe,PT,2022-07-22 17:15:41,37.8,-25.5833,71.11,78,20,6.91,few clouds
172,Comodoro Rivadavia,AR,2022-07-22 17:16:25,-45.8667,-67.5,44.46,29,0,10.36,clear sky
173,Jackson,US,2022-07-22 17:15:28,42.4165,-122.8345,75.15,52,0,4.61,clear sky
174,Banepa,NP,2022-07-22 17:16:26,27.6298,85.5214,68.32,94,75,4.61,thunderstorm with light rain
175,Amga,RU,2022-07-22 17:16:26,60.8953,131.9608,66.42,81,100,2.46,overcast clouds
176,El Sauce,NI,2022-07-22 17:16:27,12.8869,-86.539,81.81,74,100,3.6,overcast clouds
177,Faya,SA,2022-07-22 17:16:27,18.3851,42.4509,69.91,48,34,5.82,scattered clouds
178,Kambove,CD,2022-07-22 17:17:28,-10.8764,26.5969,66.31,42,48,5.79,scattered clouds
179,Carnarvon,AU,2022-07-22 17:15:55,-24.8667,113.6333,64.13,65,0,15.48,clear sky
180,Agadez,NE,2022-07-22 17:17:28,19.75,10.25,103.15,14,36,8.46,scattered clouds
181,Matamoros,MX,2022-07-22 17:17:29,25.5333,-103.25,87.91,33,40,0.0,scattered clouds
182,Palmerston,AU,2022-07-22 17:17:29,-12.486,130.9833,63.03,88,30,4.61,scattered clouds
183,Saskylakh,RU,2022-07-22 17:17:30,71.9167,114.0833,47.5,73,100,6.64,overcast clouds
184,Clyde River,CA,2022-07-22 17:13:33,70.4692,-68.5914,53.73,54,75,3.8,broken clouds
185,Fort Nelson,CA,2022-07-22 17:17:31,58.8053,-122.7002,67.28,43,12,2.73,few clouds
186,Kurchum,KZ,2022-07-22 17:17:31,48.5722,83.6542,66.92,74,49,5.59,scattered clouds
187,Menongue,AO,2022-07-22 17:17:31,-14.6585,17.691,67.46,27,33,5.14,scattered clouds
188,Vila Velha,BR,2022-07-22 17:17:32,-20.3297,-40.2925,82.35,72,20,10.36,few clouds
189,Padang,ID,2022-07-22 17:17:33,-0.9492,100.3543,78.3,88,100,5.12,overcast clouds
190,Catamarca,AR,2022-07-22 17:17:33,-28.4696,-65.7852,83.59,38,0,3.0,clear sky
191,Bethel,US,2022-07-22 17:13:09,41.3712,-73.414,94.15,46,0,9.22,clear sky
192,Shingu,JP,2022-07-22 17:16:30,33.7333,135.9833,73.58,85,0,5.5,clear sky
193,Iqaluit,CA,2022-07-22 17:17:34,63.7506,-68.5145,45.7,81,76,5.01,broken clouds
194,College,US,2022-07-22 17:17:34,64.8569,-147.8028,52.59,85,100,5.75,overcast clouds
195,Coihaique,CL,2022-07-22 17:17:35,-45.5752,-72.0662,26.55,80,75,4.61,broken clouds
196,Hasaki,JP,2022-07-22 17:17:35,35.7333,140.8333,75.6,90,31,18.41,scattered clouds
197,Sao Carlos,BR,2022-07-22 17:13:54,-22.0175,-47.8908,79.81,27,16,5.21,few clouds
198,Severo-Kurilsk,RU,2022-07-22 17:14:25,50.6789,156.125,54.45,93,100,3.42,overcast clouds
199,Jutai,BR,2022-07-22 17:17:36,-5.1833,-68.9,89.46,55,13,1.34,few clouds
200,Khandyga,RU,2022-07-22 17:17:36,62.6667,135.6,63.64,94,99,2.44,light rain
201,Bunia,CD,2022-07-22 17:17:37,1.5667,30.25,70.41,54,61,6.71,broken clouds
202,Pevek,RU,2022-07-22 17:17:37,69.7008,170.3133,31.62,90,100,2.21,overcast clouds
203,Povoa De Varzim,PT,2022-07-22 17:16:41,41.3834,-8.7636,88.23,64,0,6.91,clear sky
204,Shima,CN,2022-07-22 17:17:38,24.4478,117.8111,86.02,91,2,2.21,clear sky
205,Coquimbo,CL,2022-07-22 17:17:39,-29.9533,-71.3436,55.13,82,100,2.3,overcast clouds
206,Kruisfontein,ZA,2022-07-22 17:17:39,-34.0033,24.7314,53.89,73,100,4.79,overcast clouds
207,Sakaiminato,JP,2022-07-22 17:17:39,35.55,133.2333,73.38,94,75,6.91,broken clouds
208,Gornopravdinsk,RU,2022-07-22 17:17:40,60.05,69.9,53.91,89,73,3.74,light rain
209,Ponta Do Sol,PT,2022-07-22 17:13:12,32.6667,-17.1,75.83,60,0,3.71,clear sky
210,Marinette,US,2022-07-22 17:17:40,45.1,-87.6307,86.45,45,0,9.22,clear sky
211,Tokur,RU,2022-07-22 17:17:41,53.1333,132.9,50.34,96,93,3.24,overcast clouds
212,Bubaque,GW,2022-07-22 17:17:41,11.2833,-15.8333,77.36,90,100,19.77,moderate rain
213,Ambikapur,IN,2022-07-22 17:17:42,23.1167,83.2,77.5,87,100,4.38,overcast clouds
214,Waingapu,ID,2022-07-22 17:17:42,-9.6567,120.2641,71.19,81,99,8.84,overcast clouds
215,Hjelset,NO,2022-07-22 17:17:43,62.7833,7.4833,58.17,67,75,11.5,broken clouds
216,Sobolevo,RU,2022-07-22 17:17:43,54.4299,31.8996,68.41,76,6,3.51,clear sky
217,Codrington,AU,2022-07-22 17:17:43,-38.2667,141.9667,51.15,91,100,7.27,light rain
218,Plettenberg Bay,ZA,2022-07-22 17:17:44,-34.0527,23.3716,57.49,68,81,2.95,broken clouds
219,Mecca,SA,2022-07-22 17:18:44,21.4267,39.8261,93.43,42,10,7.34,clear sky
220,Kalmunai,LK,2022-07-22 17:18:45,7.4167,81.8167,82.4,77,100,2.77,overcast clouds
221,Sao Joao Da Barra,BR,2022-07-22 17:18:45,-21.6403,-41.0511,80.69,72,2,12.66,clear sky
222,Dingle,PH,2022-07-22 17:17:00,10.9995,122.6711,77.0,90,75,4.5,broken clouds
223,Malibu,US,2022-07-22 17:18:46,34.005,-118.8101,82.08,74,16,6.08,few clouds
224,Saint-Philippe,RE,2022-07-22 17:18:46,-21.3585,55.7679,67.59,81,35,14.23,light rain
225,Coffs Harbour,AU,2022-07-22 17:18:47,-30.3,153.1333,57.16,82,75,13.8,broken clouds
226,Balkhash,KZ,2022-07-22 17:18:47,46.844,74.9804,81.39,27,16,15.93,few clouds
227,Male,MV,2022-07-22 17:18:47,4.1748,73.5089,82.04,76,100,18.25,overcast clouds
228,Beyneu,KZ,2022-07-22 17:18:48,45.3167,55.2,89.44,30,64,18.43,broken clouds
229,Grand-Lahou,CI,2022-07-22 17:18:48,5.1367,-5.0242,78.71,66,96,7.0,overcast clouds
230,Labuhan,ID,2022-07-22 17:18:49,-6.8844,112.2051,75.94,81,50,7.02,scattered clouds
